Fecha,Total,Inferiores,PorcentajeInferiores
2025-04-01,253,248,98.0
2025-04-02,218,217,99.5
2025-04-03,245,241,98.4
2025-04-04,269,266,98.9
2025-04-05,287,281,97.9
2025-04-06,246,243,98.8
2025-04-07,255,255,100.0
2025-04-08,217,215,99.1
2025-04-09,249,247,99.2
2025-04-10,237,237,100.0
2025-04-11,317,314,99.1
2025-04-12,300,298,99.3
2025-04-13,259,256,98.8
2025-04-14,248,248,100.0
2025-04-15,262,257,98.1
2025-04-16,255,252,98.8
2025-04-17,272,270,99.3
2025-04-18,207,199,96.1
2025-04-19,260,251,96.5
2025-04-20,205,203,99.0
2025-04-21,204,204,100.0
2025-04-22,217,215,99.1
2025-04-23,240,237,98.8
2025-04-24,234,232,99.1
2025-04-25,243,243,100.0
2025-04-26,281,280,99.6
2025-04-27,245,243,99.2
2025-04-28,137,136,99.3
2025-04-29,242,242,100.0
2025-04-30,232,228,98.3
2025-05-01,227,225,99.1
2025-05-02,255,252,98.8
2025-05-03,272,272,100.0
2025-05-04,259,258,99.6
2025-05-05,246,246,100.0
2025-05-06,259,255,98.5
2025-05-07,237,235,99.2
2025-05-08,257,256,99.6
2025-05-09,262,255,97.3
2025-05-10,254,249,98.0
2025-05-11,233,229,98.3
2025-05-12,241,241,100.0
2025-05-13,265,263,99.2
2025-05-14,259,251,96.9
2025-05-15,274,268,97.8
2025-05-16,293,290,99.0
2025-05-17,291,288,99.0
2025-05-18,251,248,98.8
2025-05-19,247,247,100.0
2025-05-20,230,227,98.7
2025-05-21,255,252,98.8
2025-05-22,257,255,99.2
2025-05-23,290,280,96.6
2025-05-24,242,238,98.3
2025-05-25,249,246,98.8
2025-05-26,206,204,99.0
2025-05-27,292,287,98.3
2025-05-28,281,278,98.9
2025-05-29,301,294,97.7
2025-05-30,301,296,98.3
2025-05-31,331,330,99.7
2025-06-01,253,243,96.0
2025-06-02,236,233,98.7
2025-06-03,277,271,97.8
2025-06-04,287,285,99.3
2025-06-05,277,274,98.9
2025-06-06,267,265,99.3
2025-06-07,274,273,99.6
2025-06-08,230,228,99.1
2025-06-09,225,224,99.6
2025-06-10,267,264,98.9
2025-06-11,257,253,98.4
2025-06-12,291,286,98.3
2025-06-13,267,264,98.9
2025-06-14,300,297,99.0
2025-06-15,270,269,99.6
2025-06-16,234,234,100.0
2025-06-17,269,268,99.6
2025-06-18,240,238,99.2
2025-06-19,279,277,99.3
2025-06-20,282,282,100.0
2025-06-21,225,225,100.0
2025-06-22,213,212,99.5
2025-06-23,241,241,100.0
2025-06-24,254,252,99.2
2025-06-25,259,256,98.8
2025-06-26,270,268,99.3
2025-06-27,246,244,99.2
2025-06-28,274,273,99.6
2025-06-29,194,182,93.8
